url,status,final_url,title,description,h1,html_lang,canonical,robots_meta,jsonld_types,img_total,img_missing_alt,internal_links,word_count,issues,error
https://brokeandfixed.com/en,200,https://brokeandfixed.com/en,"Broke & Fixed Home Solutions | Kitchen & Bathroom Remodeling, Painting | Miami-Dade","Kitchen and bathroom remodeling, interior and exterior painting, tile work, and exterior repairs across Kendall, West Kendall, Palmetto Bay, Doral, and all of Miami-Dade. Family owned, fully insured. Call 786-363-7039 for a free estimate.",We fix what's broke. | We build what's next.,en,https://brokeandfixed.com/en,,,20,1,31,1059,title length 83; description length 238; H1 count 2; 1/20 images missing alt,
https://brokeandfixed.com/es,200,https://brokeandfixed.com/es,"Broke & Fixed Home Solutions | Remodelacion de Cocinas y Banos, Pintura | Miami-Dade","Remodelacion de cocinas y banos, pintura interior y exterior, azulejos y reparaciones exteriores en Kendall, Pinecrest, Doral, Palmetto Bay y todo Miami-Dade. Empresa familiar, totalmente asegurada. Llame al 786-363-7039.",We fix what's broke. | We build what's next.,es,https://brokeandfixed.com/es,,,20,1,31,1068,title length 84; description length 221; H1 count 2; 1/20 images missing alt,
https://brokeandfixed.com/en/privacy,200,https://brokeandfixed.com/en/privacy,Privacy Notice | Broke & Fixed,How Broke & Fixed Home Solutions collects and uses information submitted through this site.,Privacy Notice,en,https://brokeandfixed.com/en/privacy,,,1,1,5,348,1/1 images missing alt,
https://brokeandfixed.com/es/privacy,200,https://brokeandfixed.com/es/privacy,Aviso de privacidad | Broke & Fixed,Cómo Broke & Fixed Home Solutions recopila y usa la información enviada en este sitio.,Aviso de privacidad,es,https://brokeandfixed.com/es/privacy,,,1,1,5,366,1/1 images missing alt,
https://brokeandfixed.com/en/terms,200,https://brokeandfixed.com/en/terms,Terms of Service | Broke & Fixed,"The terms that apply to using the Broke & Fixed Home Solutions website, published starting prices, and downloadable guides.",Terms of Service,en,https://brokeandfixed.com/en/terms,,,1,1,6,698,1/1 images missing alt,
https://brokeandfixed.com/es/terms,200,https://brokeandfixed.com/es/terms,Términos de servicio | Broke & Fixed,"Los términos que aplican al uso del sitio de Broke & Fixed Home Solutions, a los estimados publicados y a las guías descargables.",Términos de servicio,es,https://brokeandfixed.com/es/terms,,,1,1,6,718,1/1 images missing alt,
https://brokeandfixed.com/en/services/bathroom-remodeling,200,https://brokeandfixed.com/en/services/bathroom-remodeling,Bathroom Remodeling | Miami-Dade | Broke & Fixed Home Solutions,"We turn outdated bathrooms into modern, functional spaces your family will actually enjoy using. From tile and vanities to full gut renovations, we handle every step of the process right here in Miami-Dade. Serving 17 communities across Miami-Dade County. Call 786-363-7039 for a free estimate.",Bathroom Remodels That Actually Get Finished,en,https://brokeandfixed.com/en/services/bathroom-remodeling,,BreadcrumbList | Service | AggregateRating | FAQPage,32,1,30,2529,description length 294; hreflang incomplete; 1/32 images missing alt,
https://brokeandfixed.com/es/services/remodelacion-de-banos,200,https://brokeandfixed.com/es/services/remodelacion-de-banos,Remodelación de Baños | Miami-Dade | Broke & Fixed Home Solutions,"Transformamos baños anticuados en espacios modernos y funcionales que tu familia realmente disfrutará. Desde azulejos y vanidades hasta renovaciones completas, manejamos cada paso del proceso aquí en Miami-Dade. Serving 17 communities across Miami-Dade County. Call 786-363-7039 for a free estimate.",Remodelaciones de Baño Que Realmente Se Terminan,es,https://brokeandfixed.com/es/services/remodelacion-de-banos,,BreadcrumbList | Service | AggregateRating | FAQPage,32,1,30,2668,description length 299; hreflang incomplete; 1/32 images missing alt,
https://brokeandfixed.com/en/services/kitchen-remodeling,200,https://brokeandfixed.com/en/services/kitchen-remodeling,Kitchen Remodeling | Miami-Dade | Broke & Fixed Home Solutions,"Your kitchen is where everything happens. We remodel kitchens across Miami-Dade with new cabinets, countertops, backsplashes, and layouts that make the space work better for how you actually live. Serving 17 communities across Miami-Dade County. Call 786-363-7039 for a free estimate.",Kitchen Remodels Done Right the First Time,en,https://brokeandfixed.com/en/services/kitchen-remodeling,,BreadcrumbList | Service | AggregateRating | FAQPage,33,1,30,2519,description length 284; hreflang incomplete; 1/33 images missing alt,
https://brokeandfixed.com/es/services/remodelacion-de-cocinas,200,https://brokeandfixed.com/es/services/remodelacion-de-cocinas,Remodelación de Cocinas | Miami-Dade | Broke & Fixed Home Solutions,"Tu cocina es donde todo sucede. Remodelamos cocinas en todo Miami-Dade con nuevos gabinetes, encimeras, salpicaderos y distribuciones que hacen que el espacio funcione mejor para tu estilo de vida. Serving 17 communities across Miami-Dade County. Call 786-363-7039 for a free estimate.",Remodelaciones de Cocina Bien Hechas la Primera Vez,es,https://brokeandfixed.com/es/services/remodelacion-de-cocinas,,BreadcrumbList | Service | AggregateRating | FAQPage,33,1,30,2603,title length 67; description length 285; hreflang incomplete; 1/33 images missing alt,
https://brokeandfixed.com/en/services/interior-painting,200,https://brokeandfixed.com/en/services/interior-painting,Interior Painting | Miami-Dade | Broke & Fixed Home Solutions,"A fresh coat of paint changes everything. We prep surfaces the right way, protect your floors and furniture, and leave clean lines every time. We work with all kinds of homes across Miami-Dade. Serving 17 communities across Miami-Dade County. Call 786-363-7039 for a free estimate.","Interior Painting Done Like a Trade, Not a Side Hustle",en,https://brokeandfixed.com/en/services/interior-painting,,BreadcrumbList | Service | AggregateRating | FAQPage,31,1,30,2415,description length 281; hreflang incomplete; 1/31 images missing alt,
https://brokeandfixed.com/es/services/pintura-interior,200,https://brokeandfixed.com/es/services/pintura-interior,Pintura Interior | Miami-Dade | Broke & Fixed Home Solutions,"Una mano de pintura fresca lo cambia todo. Preparamos las superficies correctamente, protegemos tus pisos y muebles, y dejamos líneas limpias siempre. Trabajamos con todo tipo de hogares en Miami-Dade. Serving 17 communities across Miami-Dade County. Call 786-363-7039 for a free estimate.","Pintura Interior Hecha Como Oficio, No Trabajo Extra",es,https://brokeandfixed.com/es/services/pintura-interior,,BreadcrumbList | Service | AggregateRating | FAQPage,31,1,30,2390,description length 289; hreflang incomplete; 1/31 images missing alt,
https://brokeandfixed.com/en/services/exterior-painting,200,https://brokeandfixed.com/en/services/exterior-painting,Exterior Painting | Miami-Dade | Broke & Fixed Home Solutions,"South Florida weather is rough on paint. We pressure wash, scrape, prime, and apply coatings built to handle the heat, humidity, and rain. Your home's curb appeal matters and we take it seriously. Serving 17 communities across Miami-Dade County. Call 786-363-7039 for a free estimate.",Exterior Paint Built for South Florida Weather,en,https://brokeandfixed.com/en/services/exterior-painting,,BreadcrumbList | Service | AggregateRating | FAQPage,30,1,30,2378,description length 284; hreflang incomplete; 1/30 images missing alt,
https://brokeandfixed.com/es/services/pintura-exterior,200,https://brokeandfixed.com/es/services/pintura-exterior,Pintura Exterior | Miami-Dade | Broke & Fixed Home Solutions,"El clima del sur de Florida es duro con la pintura. Lavamos a presión, raspamos, aplicamos imprimante y usamos recubrimientos diseñados para el calor, la humedad y la lluvia. La apariencia de tu hogar importa y lo tomamos en serio. Serving 17 communities across Miami-Dade County. Call 786-363-7039 for a free estimate.",Pintura Exterior Construida para el Clima del Sur de Florida,es,https://brokeandfixed.com/es/services/pintura-exterior,,BreadcrumbList | Service | AggregateRating | FAQPage,30,1,30,2387,description length 319; hreflang incomplete; 1/30 images missing alt,
https://brokeandfixed.com/en/services/tile-work,200,https://brokeandfixed.com/en/services/tile-work,Tile Work | Miami-Dade | Broke & Fixed Home Solutions,"We install tile for floors, showers, backsplashes, and more. Porcelain, ceramic, natural stone, large format, whatever the material, we set it level, grouted tight, and built to last in Miami's climate. Serving 17 communities across Miami-Dade County. Call 786-363-7039 for a free estimate.","Tile Set Level, Grouted Tight, Built to Last",en,https://brokeandfixed.com/en/services/tile-work,,BreadcrumbList | Service | AggregateRating | FAQPage,31,1,30,2432,description length 290; hreflang incomplete; 1/31 images missing alt,
